NAME,NAME.id,LOCATION.x,LOCATION.y,POSITION,SHAPE.length,SHAPE.orientation,SHAPE.width
b8798,2e07cf2c-1151-4a87-b2e9-8c5901b2a2a6,314.9215,65.67599,7,19.084173,87.91585,7.0302734
b8889,0bdd224b-25a1-4591-bb75-720b7a2d2ad5,315.4979,67.23024,8,19.81775,88.59074,6.8784075
b8977,1726247e-00e8-4b3c-9c44-54386160814b,316.21616,68.5002,9,20.85889,92.991425,6.4317827
b9076,d33f75f5-98a0-4c91-ad78-fe416080e71c,315.48508,67.13385,10,20.928087,92.386,6.5491905
b9153,54e22173-c3bb-481c-b4f7-77fef287bc70,315.5873,65.660706,11,21.260666,94.059654,6.786158
b9240,88677c67-7cf2-4c10-b0d2-54909036da57,314.38025,66.4489,12,21.972715,90.68968,6.914479
b9339,5859f6ae-51e1-4f6b-80e3-90e32e236390,312.5623,66.65152,13,22.379532,87.37623,6.7923307
b8910,988894bb-4c33-4c9c-82c5-2a62312ea962,145.71637,55.149548,9,13.269745,70.09635,5.7575073
b9010,72b1df1f-627d-41f8-a120-2c914ee66bd9,144.96964,53.5237,10,14.160956,67.83377,5.681481
b9097,7bf6f1d4-1f65-479d-aec6-969b947c1f7c,144.99257,52.62048,11,14.1127615,69.8637,5.7017484
b9181,09b58f12-beae-4544-9bb9-04499524132f,144.97354,50.975063,12,14.464203,70.34624,5.6890774
b9259,5db1426b-e9ac-4488-bb39-d4ed625608e6,144.4424,50.71863,13,14.566283,68.96256,5.923263
b8931,b0b66d31-491b-41d3-aac9-f8748b5875d0,182.88396,54.49341,9,14.484537,95.38335,5.8115745
b9029,c41b3e20-ff63-4cf1-9fa4-9099b0b1ec83,182.24133,52.701332,10,14.908085,96.0753,5.99715
b9113,ed6443be-5e83-4a68-b8cf-ba42b7bf9bd5,183.40329,51.763474,11,15.185624,91.91373,5.8556223
b9196,e25f4473-fd9b-4b86-b773-2a66890a4223,183.15126,50.98781,12,14.379921,109.89372,5.9974833
b9280,3391b68e-cc19-4df8-a450-d44c9e664d5a,183.61874,50.862823,13,14.769205,107.571236,5.7871995
b8954,47a68fcd-ed2b-4243-bda5-e0db8d157800,224.02876,55.92243,9,20.545395,89.94665,5.99193
b9049,95255397-3380-42af-86d7-17d8752cb00d,223.74004,54.002712,10,20.354279,89.1639,6.0653725
b9133,7999d599-531f-4115-9803-62e758183c58,224.61743,53.163177,11,20.838663,93.645996,6.045615
b9217,93e7a560-3867-4d95-b4ee-413f28189f62,224.32735,51.728687,12,20.808039,90.57286,6.3764544
b9312,46079529-f756-4d75-b75b-7f5797cb574c,224.98926,51.00063,13,21.100153,91.7136,6.1917844
b8955,62447567-b9f9-4105-af76-5ebc457aa376,225.7155,70.082214,9,18.632244,134.56696,5.5569067
b9050,cb958303-3501-4d97-bba2-669a489ca628,225.40147,68.40956,10,18.785542,133.3119,5.675582
b9136,879fa8e4-ec52-47dd-a09a-b27406a32222,227.1326,67.54421,11,18.910887,133.43079,5.9126987
b9221,fd3c1a9a-eb94-4b32-842e-b5779222ff5a,227.30597,65.90252,12,18.559515,133.20134,5.524312
b9316,b0f5b538-c13f-40c6-86ab-1f2f66d19857,228.5757,65.43704,13,19.487038,130.96251,5.6537814
b9017,8872f730-b860-4cbc-9177-602bc197c082,162.09074,52.490494,10,14.137106,80.74952,4.5940485
b9100,9b08f376-ce3d-453b-b832-71a4fe076ee4,162.50722,51.54921,11,14.482328,82.613495,4.241494
b9186,93d70e7d-64ac-414e-8dfb-75ed8d087c89,162.7078,49.793083,12,14.740963,84.26943,5.309402
b9264,82457b92-d542-4821-be76-48bc8c4aaf8e,162.94438,49.4397,13,15.227868,85.7848,5.007671
b9080,d780fe5b-41d0-4690-87fd-16dac4a909fe,108.44804,66.3595,10,20.690836,61.96786,6.38765
b9157,fe68b015-4ce4-4963-a630-fbf7c4d66164,109.05616,65.3915,11,20.782394,61.755085,6.753047
b9247,ccf6d0ab-f069-4c07-bfa8-054d48f42cb1,108.759155,63.519302,12,21.854773,60.91699,6.649712
b9345,77b01e72-36ad-4db6-b0a6-f375ea0e7da2,108.33047,63.501186,13,21.938398,61.933468,6.384274
b9119,31605664-bb21-4e81-a739-011aa9334266,185.71141,65.545975,11,16.238686,41.868565,5.5207753
b9201,1f572f89-85a7-47ed-9866-a720b11e5dbc,185.41432,65.38174,12,16.305532,49.71123,5.1989145
b9285,db8e211e-996e-4480-9c23-1d28781ad535,185.85411,65.02525,13,17.21007,50.297398,6.3684335
b9120,d05d2891-d989-4499-8346-032e7ef5d015,199.873,70.87579,11,20.095554,92.317825,5.80886
b9207,abef4d7f-2326-4289-9fd4-1abf069528e9,200.78455,69.09656,12,19.15761,90.42499,6.0363135
b9289,dba11f94-199a-4e88-9c08-9776f26c567d,201.6542,68.904106,13,20.052666,91.759575,5.527458
b9159,3f877f25-9c47-4d02-9172-ed52321287c7,241.80959,68.01249,11,24.304842,123.42843,5.678378
b9250,663e57af-c701-4d9d-8c0e-dc6524006bfa,241.88344,66.39408,12,24.130884,123.083755,5.359647
b9347,9e207fa1-4ad0-4f0b-a51b-44a278211e80,243.5688,66.077446,13,24.968096,122.32771,5.7628207
b9189,d3aad7b3-986a-4aa2-9a66-76f691fac12b,166.08589,58.183167,12,18.493467,75.60955,5.617099
b9266,b59527cb-3871-42fb-935e-432af6ee0df8,166.26532,57.97062,13,18.240185,76.66253,5.5701118
b9216,41da441f-beb4-4e90-a928-1ed43e9bd02a,216.56169,66.603096,12,12.43584,141.828,5.851909
b9310,193ee71f-7f6c-45b6-8a6d-6aa3f1431368,217.65512,66.68166,13,12.959591,138.01315,5.4925613
b9337,723e7661-03e7-460f-8dc1-7d23bdd4f6d4,298.3171,56.77926,13,21.97834,77.85195,6.419489
b9348,e053a2fd-7ba9-4f35-a38e-d4f73fcd52bd,269.56915,66.51776,13,27.602087,66.73408,6.592758
b9422,b18b5ee1-b4f3-4174-b9f4-7658c9236b61,270.56934,67.74236,14,27.708326,62.067345,6.2905836
